OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-GA,USGS Georgia Water Science Center,USGS-425822076441701,"SENECA POND MONTEZUMA NWR NR SENECA FALLS, NY","Lake, Reservoir, Impoundment",,04140201,,,,,42.97291667000000,-76.7381944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,380,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,099,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01376700,DEFOREST LAKE AT WEST NYACK NY,"Lake, Reservoir, Impoundment",,02030103,27.5,sq mi,,,41.10611110000000,-73.9663888900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,087,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01209717,BROWNS RESERVOIR NEAR LEWISBORO NY,"Lake, Reservoir, Impoundment",,01100006,,,,,41.21620690000000,-73.4931787000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01209790,SISCOWIT RESERVOIR NEAR POUND RIDGE NY,"Lake, Reservoir, Impoundment",,01100006,,,,,41.19315140000000,-73.5245684000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01211289,BYRAM LAKE RESERVOIR NEAR ARMONK NY,"Lake, Reservoir, Impoundment",,01100006,,,,,41.15565120000000,-73.6926300000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01301900,KENSICO RESERVOIR AT VALHALLA NY,"Lake, Reservoir, Impoundment",,02030102,12.7,sq mi,,,41.07370780000000,-73.7659656000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01302006,HILLVIEW RESERVOIR DOWNTAKE CHAMBER NR YONKERS NY,"Lake, Reservoir, Impoundment",,02030102,,,,,40.90927778000000,-73.8693611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,300.16,feet,.01,feet,Reported method of determination.,NGVD29,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01302150,LAKE SUCCESS AT LAKE SUCCESS,"Lake, Reservoir, Impoundment",,02030201,,,,,40.76510155000000,-73.7067975000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303300,"MILL POND OUTLET AT OYSTER HARBOR, NY","Lake, Reservoir, Impoundment",,02030201,,,,,40.87482098000000,-73.5409576000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303302,"MILL POND OUTLET NEAR MILL NECK, NY","Lake, Reservoir, Impoundment",,02030201,,,,,40.87509875000000,-73.5401242000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303940,NEW MILL POND NEAR SMITHTOWN NY,"Lake, Reservoir, Impoundment",,02030201,,,,,40.84176470000000,-73.2281700000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303980,"WILLOW POND OUTLET NEAR SMITHTOWN, NY","Lake, Reservoir, Impoundment",,02030201,,,,,40.84982025000000,-73.2276142000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304050,MILL POND AT STONYBROOK NY,"Lake, Reservoir, Impoundment",,02030201,,,,,40.91454267000000,-73.1456656000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304150,"FRESH POND OUTLET AT BAITING HOLLOW, NY","Lake, Reservoir, Impoundment",,02030201,,,,,40.96204250000000,-72.7709338000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304250,LAUREL LAKE NEAR MATTITUCK NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.97969444000000,-72.5547777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304380,LAKE PANAMOKA NEAR WADING RIVER NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.92259847000000,-72.8520464000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304410,DEEP POND NEAR WADING RIVER NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.93732060000000,-72.8323237000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304420,LINUS POND NEAR MANORVILLE NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.89148738000000,-72.8151014000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304430,SWAN POND NEAR MANORVILLE NY,"Lake, Reservoir, Impoundment",,02030202,,,,,40.90009840000000,-72.7895453000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304595,"BIG FRESH POND NEAR NORTH SEA, NY","Lake, Reservoir, Impoundment",,02030202,0.86,sq mi,,,40.92204480000000,-72.4211966000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304629,"TROUT POND AT NOYACK, NY","Lake, Reservoir, Impoundment",,02030202,1.07,sq mi,,,40.99287766000000,-72.3495274900000,24000,1,minutes,Interpolated from MAP.,NAD83,18,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304655,"LONG POND NEAR SAG HARBOR, NY","Lake, Reservoir, Impoundment",,02030202,2.31,sq mi,,,40.97232185000000,-72.2936932000000,24000,1,seconds,Interpolated from MAP.,NAD83,20,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304678,"FORT POND AT MONTAUK, NY","Lake, Reservoir, Impoundment",,02030202,1.00,sq mi,,,41.03649090000000,-71.9464587000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304684,"LAKE MONTAUK TRIBUTARY N.3 NEAR DITCH PLAINS, NY","Lake, Reservoir, Impoundment",,02030202,,,,,41.04926877000000,-71.9070124000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304695,"HOOK POND AT EAST HAMPTON, NY","Lake, Reservoir, Impoundment",,02030202,4.06,sq mi,,,40.95510036000000,-72.1778563000000,24000,1,minutes,Interpolated from MAP.,NAD83,5,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
